sha,message,author,date,additions,deletions,total_changes,files_changed,bug_fix
5460f467b02e49471c0fd6cfc9ca0adab6351f98,Update lock-issues.yml to latest dependencies (#7609),Nate Prewitt,2026-08-25T00:45:57Z,1,1,2,1,1
6af0b94158bbe10c45e754e85f9701f401e6aa9c,Bump https://github.com/astral-sh/ruff-pre-commit (#7608),dependabot[bot],2026-08-24T17:33:15Z,1,1,2,1,0
8f8b212de8c2129d7954c6cd373762880375620a,Bump https://github.com/astral-sh/ruff-pre-commit (#7606),dependabot[bot],2026-08-17T19:03:13Z,1,1,2,1,0
8068356288978c4f54661ae6f95afe0e0831885e,Bump https://github.com/astral-sh/ruff-pre-commit (#7603),dependabot[bot],2026-08-11T16:14:26Z,1,1,2,1,0
1f6589ec3a1ee910f9a65cc3ceac60b26677bc0e,Bump https://github.com/astral-sh/ruff-pre-commit (#7598),dependabot[bot],2026-08-03T17:52:44Z,1,1,2,1,0
414f0513c33883adf6f2b46901d4f0b38a455851,Bump the actions group with 2 updates (#7596),dependabot[bot],2026-07-27T17:25:09Z,7,7,14,5,0
ded32878c0090f6b7b32a008176df6cecf36481f,Bump https://github.com/astral-sh/ruff-pre-commit (#7597),dependabot[bot],2026-07-27T17:18:18Z,1,1,2,1,0
69f84847045bef7a849cc994a26fe7ba8a169e95,Bump the actions group with 3 updates (#7591),dependabot[bot],2026-07-20T18:41:16Z,3,3,6,1,0
b17c61b618b1824f1f5d9edcacaf16801343a295,Bump https://github.com/astral-sh/ruff-pre-commit (#7590),dependabot[bot],2026-07-20T17:55:26Z,1,1,2,1,0
f361ead047be5cb873174218582f7d8b9fcd9f49,Bump https://github.com/astral-sh/ruff-pre-commit (#7562),dependabot[bot],2026-07-09T15:12:40Z,1,1,2,1,0
d38495c90653496c3c81f31e8f9bef162b400b44,Fix link to AI Policy in CONTRIBUTING.md (#7576),Yamac,2026-07-09T15:10:39Z,1,1,2,1,1
4c800e9aea2059660b8306b0fc8f9e9a4232cb3e,Bump actions/setup-python from 6.2.0 to 6.3.0 in the actions group (#7561),dependabot[bot],2026-07-06T17:32:29Z,6,6,12,4,0
23953c0c875219a715f081cf3de7c149a7629ccf,Bump https://github.com/astral-sh/ruff-pre-commit (#7551),dependabot[bot],2026-06-29T17:37:19Z,1,1,2,1,0
